Date,IBOV,PTAX
2021-07-01,125666.0,4.969200134277344
2021-07-02,127622.0,5.045102119445801
2021-07-05,126920.0,5.059199810028076
2021-07-06,125095.0,5.088459014892578
2021-07-07,127019.0,5.195300102233887
2021-07-08,125428.0,5.231200218200684
2021-07-09,,5.257999897003174
2021-07-12,127594.0,5.257900238037109
2021-07-13,128168.0,5.172699928283691
2021-07-14,128407.0,5.162399768829346
2021-07-15,127468.0,5.069900035858154
2021-07-16,125960.0,5.110000133514404
2021-07-19,124395.0,5.1153998374938965
2021-07-20,125401.0,5.250899791717529
2021-07-21,125929.0,5.219900131225586
2021-07-22,126147.0,5.187300205230713
2021-07-23,125053.0,5.1996002197265625
2021-07-26,126004.0,5.19789981842041
2021-07-27,124612.0,5.1753997802734375
2021-07-28,126286.0,5.169099807739258
2021-07-29,125675.0,5.114799976348877
2021-07-30,121801.0,5.080399990081787
2021-08-02,122516.0,5.208700180053711
2021-08-03,123577.0,5.174600124359131
2021-08-04,121801.0,5.196800231933594
2021-08-05,121633.0,5.1682000160217285
2021-08-06,122810.0,5.245200157165527
2021-08-09,123019.0,5.23199987411499
2021-08-10,122202.0,5.231800079345703
2021-08-11,122056.0,5.188300132751465
2021-08-12,120701.0,5.218200206756592
2021-08-13,121194.0,5.252200126647949
2021-08-16,119180.0,5.247499942779541
2021-08-17,117904.0,5.259699821472168
2021-08-18,116643.0,5.294300079345703
2021-08-19,117165.0,5.378600120544434
2021-08-20,118053.0,5.414100170135498
2021-08-23,117472.0,5.379000186920166
2021-08-24,120211.0,5.379899978637695
2021-08-25,120818.0,5.245800018310547
2021-08-26,118724.0,5.210999965667725
2021-08-27,120678.0,5.2515997886657715
2021-08-30,119740.0,5.2027997970581055
2021-08-31,118781.0,5.1828999519348145
2021-09-01,119396.0,5.1493000984191895
2021-09-02,116677.0,5.184599876403809
2021-09-03,116933.0,5.18179988861084
2021-09-06,117869.0,5.189799785614014
2021-09-07,,5.169300079345703
2021-09-08,113413.0,5.169600009918213
2021-09-09,115361.0,5.3206000328063965
2021-09-10,114286.0,5.196499824523926
2021-09-13,116404.0,5.247000217437744
2021-09-14,116181.0,5.213200092315674
2021-09-15,115063.0,5.238900184631348
2021-09-16,113794.0,5.221700191497803
2021-09-17,111439.0,5.256800174713135
2021-09-20,108844.0,5.289700031280518
2021-09-21,110250.0,5.323200225830078
2021-09-22,112282.0,5.268899917602539
2021-09-23,114064.0,5.287700176239014
2021-09-24,113283.0,5.3018999099731445
2021-09-27,113583.0,5.336999893188477
2021-09-28,110124.0,5.390399932861328
2021-09-29,111107.0,5.427599906921387
2021-09-30,110979.0,5.414299964904785
2021-10-01,112900.0,5.441699981689453
2021-10-04,110393.0,5.3678998947143555
2021-10-05,110458.0,5.453199863433838
2021-10-06,110560.0,5.475500106811523
2021-10-07,110585.0,5.4918999671936035
2021-10-08,112833.0,5.517000198364258
2021-10-11,112180.0,5.506899833679199
2021-10-12,,5.535999774932861
2021-10-13,113456.0,5.531499862670898
2021-10-14,113185.0,5.512499809265137
2021-10-15,114648.0,5.512199878692627
2021-10-18,114428.0,5.458399772644043
2021-10-19,110673.0,5.511300086975098
2021-10-20,110786.0,5.5833001136779785
2021-10-21,107735.0,5.59630012512207
2021-10-22,106296.0,5.657800197601318
2021-10-25,108715.0,5.649199962615967
2021-10-26,106420.0,5.5543999671936035
2021-10-27,106363.0,5.564799785614014
2021-10-28,105705.0,5.534999847412109
2021-10-29,103501.0,5.644899845123291
2021-11-01,105551.0,5.633699893951416
2021-11-02,,5.678899765014648
2021-11-03,105617.0,5.678599834442139
2021-11-04,103412.0,5.5524001121521
2021-11-05,104824.0,5.6016998291015625
2021-11-08,104781.0,5.541100025177002
2021-11-09,105535.0,5.543099880218506
2021-11-10,105968.0,5.479100227355957
2021-11-11,107725.0,5.4899001121521
2021-11-12,106312.0,5.3979997634887695
2021-11-15,,5.457600116729736
2021-11-16,104508.0,5.456299781799316
2021-11-17,102945.0,5.502200126647949
2021-11-18,102524.0,5.52869987487793
2021-11-19,103035.0,5.556399822235107
2021-11-22,102122.0,5.611599922180176
2021-11-23,103663.0,5.585599899291992
2021-11-24,104514.0,5.570400238037109
2021-11-25,105811.0,5.605199813842773
2021-11-26,102224.0,5.565100193023682
2021-11-29,102814.0,5.607800006866455
2021-11-30,101915.0,5.6006999015808105
2021-12-01,100775.0,5.620871067047119
2021-12-02,104466.0,5.6915669441223145
2021-12-03,105070.0,5.643321990966797
2021-12-06,106859.0,5.65009880065918
2021-12-07,107558.0,5.688000202178955
2021-12-08,108096.0,5.611800193786621
2021-12-09,106291.0,5.531599998474121
2021-12-10,107758.0,5.571100234985352
2021-12-13,107383.0,5.60866117477417
2021-12-14,106760.0,5.679699897766113
2021-12-15,107370.0,5.680600166320801
2021-12-16,108212.0,5.6793999671936035
2021-12-17,107201.0,5.687399864196777
2021-12-20,105020.0,5.693059921264648
2021-12-21,105500.0,5.741300106048584
2021-12-22,105244.0,5.74399995803833
2021-12-23,104891.0,5.6529998779296875
2021-12-24,,5.671795845031738
2021-12-27,105531.0,5.67110013961792
2021-12-28,104864.0,5.624100208282471
2021-12-29,104107.0,5.627500057220459
2021-12-30,104822.0,5.702700138092041
2021-12-31,,5.570199966430664
2022-01-03,103922.0,5.569300174713135
2022-01-04,103514.0,5.68120002746582
2022-01-05,101006.0,5.676199913024902
2022-01-06,101561.0,5.705635070800781
2022-01-07,102719.0,5.682400226593018
2022-01-10,101945.0,5.632199764251709
2022-01-11,103779.0,5.662199974060059
2022-01-12,105686.0,5.567299842834473
2022-01-13,105530.0,5.533199787139893
2022-01-14,106928.0,5.526700019836426
2022-01-17,106692.0,5.533299922943115
2022-01-18,106522.0,5.5157999992370605
2022-01-19,108013.0,5.565700054168701
2022-01-20,109102.0,5.43720006942749
2022-01-21,108942.0,5.418099880218506
2022-01-24,107752.0,5.457099914550781
2022-01-25,109845.0,5.486100196838379
2022-01-26,111573.0,5.440703868865967
2022-01-27,112315.0,5.429166793823242
2022-01-28,111478.0,5.40348482131958
2022-01-31,112388.0,5.362599849700928
2022-02-01,113147.0,5.303100109100342
2022-02-02,112161.0,5.264500141143799
2022-02-03,111696.0,5.260900020599365
2022-02-04,112245.0,5.282899856567383
2022-02-07,111996.0,5.326900005340576
2022-02-08,112234.0,5.262599945068359
2022-02-09,112461.0,5.258399963378906
2022-02-10,113359.0,5.234499931335449
2022-02-11,113572.0,5.248700141906738
2022-02-14,113807.0,5.249956130981445
2022-02-15,114660.0,5.214000225067139
2022-02-16,115181.0,5.157899856567383
2022-02-17,113528.0,5.135799884796143
2022-02-18,112768.0,5.170599937438965
2022-02-21,111725.0,5.137499809265137
2022-02-22,112892.0,5.102700233459473
2022-02-23,112008.0,5.05709981918335
2022-02-24,111592.0,5.008699893951416
2022-02-25,113142.0,5.122200012207031
2022-02-28,,5.15939998626709
2022-03-01,,5.158400058746338
2022-03-02,115174.0,5.158999919891357
2022-03-03,115166.0,5.096502780914307
2022-03-04,114474.0,5.030900001525879
2022-03-07,111593.0,5.06056022644043
2022-03-08,111203.0,5.110499858856201
2022-03-09,113900.0,5.058800220489502
2022-03-10,113663.0,5.011499881744385
2022-03-11,111713.0,5.009699821472168
2022-03-14,109928.0,5.073500156402588
2022-03-15,108959.0,5.121399879455566
2022-03-16,111112.0,5.1631999015808105
2022-03-17,113076.0,5.0738749504089355
2022-03-18,115311.0,5.039400100708008
2022-03-21,116155.0,5.0177998542785645
2022-03-22,117272.0,4.935200214385986
2022-03-23,117457.0,4.909999847412109
2022-03-24,119053.0,4.82420015335083
2022-03-25,119081.0,4.826300144195557
2022-03-28,118738.0,4.7368998527526855
2022-03-29,120014.0,4.764100074768066
2022-03-30,120260.0,4.756199836730957
2022-03-31,119999.0,4.769700050354004
2022-04-01,121570.0,4.737800121307373
2022-04-04,121280.0,4.657199859619141
2022-04-05,118885.0,4.593800067901611
2022-04-06,118228.0,4.650700092315674
2022-04-07,118862.0,4.715199947357178
2022-04-08,118322.0,4.752099990844727
2022-04-11,116953.0,4.6981000900268555
2022-04-12,116147.0,4.693600177764893
2022-04-13,116782.0,4.673099994659424
